track,task_id,property,gold,unit,value_transform,old_lower_tolerance,old_upper_tolerance,candidate_lower_tolerance,candidate_upper_tolerance,interval_space,zero_lower_bound,zero_upper_bound,score90_lower_bound,score90_upper_bound,review_status,issue_origin,assessment,required_evidence,sources
property_calculation_basic,property_calculation_basic_013_adenine_thymine_wc_pair_binding_energy,binding_energy,-16.13,kcal/mol,identity,3.0,3.0,0.339,0.339,x,-16.468999999999998,-15.790999999999999,-16.163899999999998,-16.0961,reference_reconciliation,preexisting_structure_mapping_risk,题面SMILES为N-甲基化配对，不能直接引用未甲基化S22 A-T数值；0.0339 kcal/mol的90分精度需更强参考依据。,确认原始复合物几何、分子式、参考条目和gold计算，不预判gold一定错误。,R3;R4;LOCAL
property_calculation_basic,property_calculation_basic_014_water_methanol_complex_binding_energy,binding_energy,-4.89,kcal/mol,identity,3.0,3.0,1.5,1.5,x,-6.39,-3.3899999999999997,-5.04,-4.739999999999999,independent_calibration,candidate_scale_choice,SMILES不唯一固定非共价几何；S22/S66参考收敛误差与允许的预测误差不同，不能直接等同于零分宽度。,对应的分子/复合物几何、参考版本、CP/BSSE、形变和ZPE/热项定义。,R3;R4
property_calculation_basic,property_calculation_basic_015_ethene_ethyne_t_complex_binding_energy,binding_energy,-1.33,kcal/mol,identity,3.0,3.0,2.109,2.109,x,-3.439,0.7789999999999999,-1.5409000000000002,-1.1191,utility_policy_required,preexisting_cross_zero_width_reduced,gold=-1.33、tau=2.109；0得36.94分，+0.5得13.23。对稳定结合与不结合的误差效用需要解释，非一概非法输入。,冻结几何及相互作用定义，说明相反结合结论是否可给部分分。,R3;LOCAL
property_calculation_basic,property_calculation_basic_016_thiophene_polarizability,static_mean_polarizability,65.01,a.u.,identity,16.2525,16.2525,8.12625,8.12625,x,56.883750000000006,73.13625,64.19737500000001,65.822625,independent_calibration,candidate_scale_choice,GFN2输出的Mol. alpha与所称静态平均极化率需对应；当前宽度不是已测得的同协议重复性。,性质提取定义、固定几何、xTB版本和独立数值/几何敏感性校准。,R5;R6
property_calculation_basic,property_calculation_basic_017_benzene_polarizability,static_mean_polarizability,67.87,a.u.,identity,16.9675,16.9675,8.907937500000001,8.907937500000001,x,58.9620625,76.77793750000001,66.97920625,68.76079375,independent_calibration,candidate_scale_choice,GFN2输出的Mol. alpha与所称静态平均极化率需对应；当前宽度不是已测得的同协议重复性。,性质提取定义、固定几何、xTB版本和独立数值/几何敏感性校准。,R5;R6
property_calculation_basic,property_calculation_basic_018_octatetraene_polarizability,static_mean_polarizability,95.51,a.u.,identity,23.8775,23.8775,6.1842725000000005,6.1842725000000005,x,89.3257275,101.69427250000001,94.89157275000001,96.12842725,independent_calibration,candidate_scale_choice,GFN2输出的Mol. alpha与所称静态平均极化率需对应；当前宽度不是已测得的同协议重复性。,性质提取定义、固定几何、xTB版本和独立数值/几何敏感性校准。,R5;R6
property_calculation_basic,property_calculation_basic_019_dimethyl_sulfoxide_water_dipole_moment,dipole_moment,5.43,Debye,identity,1.9004999999999999,1.9004999999999999,0.9502499999999999,0.9502499999999999,x,4.47975,6.380249999999999,5.334975,5.525024999999999,independent_calibration,candidate_scale_choice,零分宽度是gold的17.5%，90分误差1.75%；数量级可作候选，但未通过独立复现验证。,气相几何；DMSO额外明确水溶剂模型及参数；核对同协议gold。,R5;R6
property_calculation_basic,property_calculation_basic_020_cis_dichloroethene_dipole_moment,dipole_moment,1.88,Debye,identity,0.6579999999999999,0.6579999999999999,0.32899999999999996,0.32899999999999996,x,1.551,2.2089999999999996,1.8471,1.9128999999999998,independent_calibration,candidate_scale_choice,零分宽度是gold的17.5%，90分误差1.75%；数量级可作候选，但未通过独立复现验证。,气相几何；DMSO额外明确水溶剂模型及参数；核对同协议gold。,R5;R6
property_calculation_basic,property_calculation_basic_021_acetonitrile_dipole_moment,dipole_moment,3.85,Debye,identity,1.3475,1.3475,0.67375,0.67375,x,3.17625,4.52375,3.782625,3.9173750000000003,independent_calibration,candidate_scale_choice,零分宽度是gold的17.5%，90分误差1.75%；数量级可作候选，但未通过独立复现验证。,气相几何；DMSO额外明确水溶剂模型及参数；核对同协议gold。,R5;R6
property_calculation_basic,property_calculation_basic_022_naphthalene_bridge_bond_order,wiberg_bond_order,1.2522,dimensionless,identity,0.25044,0.25044,0.12522,0.12522,x,1.12698,1.3774199999999999,1.239678,1.264722,independent_calibration,candidate_scale_choice,GFN2已约束模型/基组；仍需固定几何、分析实现和目标键。不同WBO宽度及其精确小数缺独立来源。,原始xTB输出、原子/键映射、版本和几何/SCF收敛误差。,R6;R7
property_calculation_basic,property_calculation_basic_023_dimethyl_sulfone_so_bond_order,wiberg_bond_order,1.6615,dimensionless,identity,0.33230000000000004,0.33230000000000004,0.16615000000000002,0.16615000000000002,x,1.49535,1.82765,1.644885,1.678115,independent_calibration,candidate_scale_choice,GFN2已约束模型/基组；仍需固定几何、分析实现和目标键。不同WBO宽度及其精确小数缺独立来源。,原始xTB输出、原子/键映射、版本和几何/SCF收敛误差。,R6;R7
property_calculation_basic,property_calculation_basic_024_methyl_nitrate_no_bond_order,wiberg_bond_order,0.9292,dimensionless,identity,0.18584,0.18584,0.03698216,0.03698216,x,0.89221784,0.96618216,0.925501784,0.932898216,independent_calibration,candidate_sample_boundary_fit,tau=0.03698216几乎等于一次GPT/off误差0.0369815182；数值精度来自样本边界而非独立化学证据。,固定GFN2几何、版本与键定义，在独立数据上校准合理误差再圆整。,R6;LOCAL
property_calculation_basic,property_calculation_basic_025_phenol_surface_esp_minimum,surface_electrostatic_potential_minimum,-25.95,kcal/mol,identity,10.38,10.38,6.75738,6.75738,x,-32.70738,-19.192619999999998,-26.625738,-25.274262,protocol_definition_required,preexisting_protocol_gap,表面量依赖表面定义、网格、几何和面积权重；B3LYP/6-31G**本身不足以固定表面统计量。,明确半径表面或电子密度等值面、网格与面积积分收敛。,R15
property_calculation_basic,property_calculation_basic_026_nitrobenzene_vdw_surface_area,van_der_waals_surface_area,150.3,angstrom^2,identity,30.060000000000002,30.060000000000002,12.715380000000001,12.715380000000001,x,137.58462,163.01538000000002,149.02846200000002,151.571538,protocol_definition_required,preexisting_protocol_gap,表面量依赖表面定义、网格、几何和面积权重；B3LYP/6-31G**本身不足以固定表面统计量。,明确半径表面或电子密度等值面、网格与面积积分收敛。,R15
property_calculation_basic,property_calculation_basic_027_pyrrole_surface_esp_variance,surface_electrostatic_potential_total_variance,178.25,(kcal/mol)^2,identity,62.387499999999996,62.387499999999996,53.091762499999994,53.091762499999994,x,125.15823750000001,231.3417625,172.94082375,183.55917625,protocol_definition_required,preexisting_protocol_gap,表面量依赖表面定义、网格、几何和面积权重；B3LYP/6-31G**本身不足以固定表面统计量。,明确半径表面或电子密度等值面、网格与面积积分收敛。,R15
property_calculation_basic,property_calculation_basic_028_urea_crystal_density,crystal_density,1.333,g/cm^3,identity,0.2666,0.2666,0.1333,0.1333,x,1.1997,1.4663,1.31967,1.34633,independent_calibration,candidate_scale_choice,题目已明确M/V(0.001)代理定义；统一10%零分/1%高分相对误差形式可解释，不能用实验晶体不确定度代替代理计算误差。,同代理公式、几何/等值面数值收敛及与该gold一致的误差锚点。,LOCAL
property_calculation_basic,property_calculation_basic_029_tnt_crystal_density,crystal_density,1.71,g/cm^3,identity,0.342,0.342,0.171,0.171,x,1.539,1.881,1.6929,1.7270999999999999,independent_calibration,candidate_scale_choice,题目已明确M/V(0.001)代理定义；统一10%零分/1%高分相对误差形式可解释，不能用实验晶体不确定度代替代理计算误差。,同代理公式、几何/等值面数值收敛及与该gold一致的误差锚点。,LOCAL
property_calculation_basic,property_calculation_basic_030_picric_acid_crystal_density,crystal_density,1.831,g/cm^3,identity,0.3662,0.3662,0.1831,0.1831,x,1.6479,2.0141,1.81269,1.84931,independent_calibration,candidate_scale_choice,题目已明确M/V(0.001)代理定义；统一10%零分/1%高分相对误差形式可解释，不能用实验晶体不确定度代替代理计算误差。,同代理公式、几何/等值面数值收敛及与该gold一致的误差锚点。,LOCAL
property_calculation_basic,property_calculation_basic_031_allyl_radical_c1_spin_density,spin_density,-0.266,dimensionless,identity,0.21280000000000002,0.21280000000000002,0.10640000000000001,0.10640000000000001,x,-0.3724,-0.15960000000000002,-0.27664,-0.25536000000000003,prompt_gold_reconciliation,preexisting_prompt_semantic_change,740f58b把零基索引1中间碳改成radical-center；SMILES局域自由基标记在索引0。确定存在指代变化，尚未重算证明gold错误。,从原始UDFT输出核对atom mapping、population和gold；负局部自旋密度本身合法。,R7;LOCAL
property_calculation_basic,property_calculation_basic_032_benzyl_radical_para_c_spin_density,spin_density,0.301,dimensionless,identity,0.24080000000000001,0.24080000000000001,0.0768152,0.0768152,x,0.2241848,0.3778152,0.29331848,0.30868152,protocol_definition_required,preexisting_protocol_gap,局部自旋密度可为负；UB3LYP及基组已指定，但分区方案、几何、自旋解和独立误差未完整给出。,原始自旋密度输出、population scheme、原子映射、UDFT稳定性和自旋污染。,R7
property_calculation_basic,property_calculation_basic_033_phenoxy_radical_o_spin_density,spin_density,0.415,dimensionless,identity,0.332,0.332,0.26792400000000005,0.26792400000000005,x,0.14707599999999993,0.6829240000000001,0.3882076,0.4417924,protocol_definition_required,preexisting_protocol_gap,局部自旋密度可为负；UB3LYP及基组已指定，但分区方案、几何、自旋解和独立误差未完整给出。,原始自旋密度输出、population scheme、原子映射、UDFT稳定性和自旋污染。,R7
property_calculation_basic,property_calculation_basic_034_indole_c3_fukui_minus,fukui_function,0.076,dimensionless,identity,0.076,0.076,0.038,0.038,x,0.038,0.11399999999999999,0.0722,0.0798,protocol_definition_required,preexisting_protocol_gap,Fukui数值是定义相关描述符；gold的50%零分宽度只是统一经验规则，尚无误差校准。,指定xTB实现、N±1态、电荷分区及垂直/绝热几何处理。,R6;R7
property_calculation_basic,property_calculation_basic_035_chloronitrobenzene_c_fukui_plus,fukui_function,0.055,dimensionless,identity,0.055,0.055,0.0275,0.0275,x,0.0275,0.0825,0.05225,0.05775,protocol_definition_required,preexisting_protocol_gap,Fukui数值是定义相关描述符；gold的50%零分宽度只是统一经验规则，尚无误差校准。,指定xTB实现、N±1态、电荷分区及垂直/绝热几何处理。,R6;R7
property_calculation_basic,property_calculation_basic_036_furfural_carbonyl_c_fukui_plus,fukui_function,0.07,dimensionless,identity,0.07,0.07,0.035,0.035,x,0.035,0.10500000000000001,0.0665,0.07350000000000001,protocol_definition_required,preexisting_protocol_gap,Fukui数值是定义相关描述符；gold的50%零分宽度只是统一经验规则，尚无误差校准。,指定xTB实现、N±1态、电荷分区及垂直/绝热几何处理。,R6;R7
property_calculation_basic,property_calculation_basic_037_benzene_standard_entropy,standard_entropy,64.67,cal/(mol*K),identity,7.7604,7.7604,3.8802,3.8802,x,60.7898,68.5502,64.28198,65.05802,independent_calibration,candidate_scale_choice,0.134–0.388 cal/(mol*K)高分误差应解释成评分精度，而非NIST实验uncertainty；本轮只确证CH4/NH3/CO2数值。,逐条热化学来源、1bar/1atm、转动对称数/低频处理、允许的预测误差。,R12;R13;R14
property_calculation_basic,property_calculation_basic_038_acetonitrile_standard_entropy,standard_entropy,57.88,cal/(mol*K),identity,6.9456,6.9456,3.4728,3.4728,x,54.4072,61.3528,57.532720000000005,58.22728,independent_calibration,candidate_scale_choice,0.134–0.388 cal/(mol*K)高分误差应解释成评分精度，而非NIST实验uncertainty；本轮只确证CH4/NH3/CO2数值。,逐条热化学来源、1bar/1atm、转动对称数/低频处理、允许的预测误差。,R12;R13;R14
property_calculation_basic,property_calculation_basic_039_neopentane_standard_entropy,standard_entropy,73.88,cal/(mol*K),identity,8.865599999999999,8.865599999999999,1.3387055999999997,1.3387055999999997,x,72.5412944,75.21870559999999,73.74612943999999,74.01387056,independent_calibration,candidate_sample_boundary_fit,tau=1.3387056紧贴GPT/off误差1.34；与其他熵题严格程度不同缺独立证据。本轮未查获该分子NIST精确熵数据。,原始热化学来源及误差、标准态、转动/低频协议与独立复现。,LOCAL
property_calculation_basic,property_calculation_basic_040_methane_standard_entropy,standard_entropy,44.4,cal/(mol*K),identity,5.327999999999999,5.327999999999999,2.6639999999999997,2.6639999999999997,x,41.736,47.064,44.1336,44.666399999999996,independent_calibration,candidate_scale_choice,0.134–0.388 cal/(mol*K)高分误差应解释成评分精度，而非NIST实验uncertainty；本轮只确证CH4/NH3/CO2数值。,逐条热化学来源、1bar/1atm、转动对称数/低频处理、允许的预测误差。,R12;R13;R14
property_calculation_basic,property_calculation_basic_041_ammonia_standard_entropy,standard_entropy,45.92,cal/(mol*K),identity,5.5104,5.5104,2.7552,2.7552,x,43.1648,48.675200000000004,45.64448,46.19552,independent_calibration,candidate_scale_choice,0.134–0.388 cal/(mol*K)高分误差应解释成评分精度，而非NIST实验uncertainty；本轮只确证CH4/NH3/CO2数值。,逐条热化学来源、1bar/1atm、转动对称数/低频处理、允许的预测误差。,R12;R13;R14
property_calculation_basic,property_calculation_basic_042_carbon_dioxide_standard_entropy,standard_entropy,51.18,cal/(mol*K),identity,6.1415999999999995,6.1415999999999995,3.0707999999999998,3.0707999999999998,x,48.1092,54.2508,50.87292,51.48708,independent_calibration,candidate_scale_choice,0.134–0.388 cal/(mol*K)高分误差应解释成评分精度，而非NIST实验uncertainty；本轮只确证CH4/NH3/CO2数值。,逐条热化学来源、1bar/1atm、转动对称数/低频处理、允许的预测误差。,R12;R13;R14
property_calculation_basic,property_calculation_basic_043_acetic_acid_dimerization_enthalpy,dimerization_enthalpy,-16.04,kcal/mol,identity,3.0,3.0,1.158,1.158,x,-17.198,-14.882,-16.1558,-15.924199999999999,protocol_definition_required,preexisting_protocol_gap,高分误差0.1158 kcal/mol可能作为严格协议目标；构象、热修正和参考状态的误差尚未分开。,GFN2版本、环状二聚体最低构象、电子/ZPE/热项与标准态。,R5;R6
property_calculation_basic,property_calculation_basic_044_caffeine_most_negative_mulliken_atom,most_negative_mulliken_atom,11 O,,categorical,,,,,,,,,,no_numeric_tolerance,unchanged_categorical,无数值宽度；B044保留索引正确1、O元素正确但索引不符0.5的既有规则。,按既有身份/相名/比例规则另审来源；本轮仅标记不适用。,LOCAL
property_calculation_basic,property_calculation_basic_045_trifluoroacetic_acid_hydrogen_charge,mulliken_charge,0.364,e,identity,0.273,0.273,0.1365,0.1365,x,0.22749999999999998,0.5005,0.35035,0.37765,independent_calibration,candidate_scale_choice,90分误差0.01365 e并非显然非法；Mulliken电荷不是与分区无关的可观测原子电荷。,同方法、同几何、同原子映射与分析实现的独立复现。,R6;R7
property_calculation_basic,property_calculation_basic_046_methyl_azide_most_negative_mulliken_atom,most_negative_mulliken_atom,3 N,,categorical,,,,,,,,,,no_numeric_tolerance,unchanged_categorical,非数值字段，本轮不改变，也不以容差审查认证其gold与规则。,按既有身份/相名/比例规则另审来源；本轮仅标记不适用。,LOCAL
property_calculation_basic,property_calculation_basic_047_formaldehyde_s1_vertical_excitation_energy,vertical_excitation_energy,4.12,eV,identity,1.0,1.0,0.5,0.5,x,3.62,4.62,4.07,4.17,independent_calibration,candidate_scale_choice,固定RI-TDA-B3LYP/def2-SVP的复现误差应与实验激发能误差分开；B050比其余题严格约2.8倍缺独立证据。,ground-state几何、根识别、溶剂、版本和数值收敛；不与吸收峰/0-0能量混用。,R9;LOCAL
property_calculation_basic,property_calculation_basic_048_acetaldehyde_s1_vertical_excitation_energy,vertical_excitation_energy,4.42,eV,identity,1.0,1.0,0.5,0.5,x,3.92,4.92,4.37,4.47,independent_calibration,candidate_scale_choice,固定RI-TDA-B3LYP/def2-SVP的复现误差应与实验激发能误差分开；B050比其余题严格约2.8倍缺独立证据。,ground-state几何、根识别、溶剂、版本和数值收敛；不与吸收峰/0-0能量混用。,R9;LOCAL
property_calculation_basic,property_calculation_basic_049_acetone_s1_vertical_excitation_energy,vertical_excitation_energy,4.51,eV,identity,1.0,1.0,0.5,0.5,x,4.01,5.01,4.46,4.56,independent_calibration,candidate_scale_choice,固定RI-TDA-B3LYP/def2-SVP的复现误差应与实验激发能误差分开；B050比其余题严格约2.8倍缺独立证据。,ground-state几何、根识别、溶剂、版本和数值收敛；不与吸收峰/0-0能量混用。,R9;LOCAL
property_calculation_basic,property_calculation_basic_050_pyrazine_s1_vertical_excitation_energy,vertical_excitation_energy,4.04,eV,identity,1.0,1.0,0.18,0.18,x,3.86,4.22,4.022,4.058,independent_calibration,candidate_scale_choice,固定RI-TDA-B3LYP/def2-SVP的复现误差应与实验激发能误差分开；B050比其余题严格约2.8倍缺独立证据。,ground-state几何、根识别、溶剂、版本和数值收敛；不与吸收峰/0-0能量混用。,R9;LOCAL
property_calculation_basic,property_calculation_basic_051_formaldehyde_t1_vertical_excitation_energy,vertical_excitation_energy,3.39,eV,identity,1.0,1.0,0.5,0.5,x,2.89,3.89,3.3400000000000003,3.44,independent_calibration,candidate_scale_choice,固定RI-TDA-B3LYP/def2-SVP的复现误差应与实验激发能误差分开；B050比其余题严格约2.8倍缺独立证据。,ground-state几何、根识别、溶剂、版本和数值收敛；不与吸收峰/0-0能量混用。,R9;LOCAL
property_calculation_advanced,property_calculation_advanced_001_free_energy,free_energy_difference,0.258031679,kJ/mol,identity,10.0,10.0,2.55,2.55,x,-2.2919683209999997,2.808031679,0.0030316790000000093,0.513031679,inherited_domain_issue,preexisting_domain_candidate_reduces,绝对差不能为负；-0.1 kJ/mol旧得96.42、候选85.96分。候选零分宽度相对于0.258 gold仍大。,固定G/F、温度/压力、单位归一化与振动模型；单独处理非负域。,LOCAL
property_calculation_advanced,property_calculation_advanced_002_crystal_phase,potential_energy_difference,0.079,eV,identity,1.0,1.0,7.88,7.88,x,-7.801,7.959,-0.7090000000000001,0.867,candidate_width_not_supported,preexisting_domain_candidate_worsens,宽度约为gold的100倍，0 eV得99分，-0.1 eV得97.73分；缺归一化与方法证据。,明确每晶胞/分子/化学式单位、势能方法与优化；独立校准后重定宽度。,LOCAL
property_calculation_advanced,property_calculation_advanced_002_crystal_phase,ambient_pressure_phase,alpha,,categorical,,,,,,,,,,no_numeric_tolerance,unchanged_categorical,非数值字段，本轮不改变，也不以容差审查认证其gold与规则。,按既有身份/相名/比例规则另审来源；本轮仅标记不适用。,LOCAL
property_calculation_advanced,property_calculation_advanced_002_crystal_phase,high_pressure_phase,beta,,categorical,,,,,,,,,,no_numeric_tolerance,unchanged_categorical,非数值字段，本轮不改变，也不以容差审查认证其gold与规则。,按既有身份/相名/比例规则另审来源；本轮仅标记不适用。,LOCAL
property_calculation_advanced,property_calculation_advanced_003_hbond_count,hydrogen_bond_count,12,count,identity,3.0,3.0,1.9980000000000002,1.9980000000000002,x,10.001999999999999,13.998000000000001,11.8002,12.1998,independent_calibration,candidate_scale_choice,整数距离线性评分可行；错1个约49.95、错2个0分，1.998不比圆整2更有化学解释。,氢键几何/电子判据、周期重复计数、供受体规则及整数输入语义。,R16
property_calculation_advanced,property_calculation_advanced_004_ir_top2_frequencies,frequency_1,1208.1,cm^-1,identity,100.0,100.0,100.0,100.0,x,1108.1,1308.1,1198.1,1218.1,independent_calibration,unchanged_width_preexisting_protocol_gap,90分误差10 cm^-1可作候选；目标是指定方法的harmonic频率，不应拿实验fundamental缩放作为同协议误差。,最低构象、几何优化、未缩放harmonic定义及IR强度top-2选择稳定性。,LOCAL
property_calculation_advanced,property_calculation_advanced_004_ir_top2_frequencies,frequency_2,1685.56,cm^-1,identity,100.0,100.0,100.0,100.0,x,1585.56,1785.56,1675.56,1695.56,independent_calibration,unchanged_width_preexisting_protocol_gap,90分误差10 cm^-1可作候选；目标是指定方法的harmonic频率，不应拿实验fundamental缩放作为同协议误差。,最低构象、几何优化、未缩放harmonic定义及IR强度top-2选择稳定性。,LOCAL
property_calculation_advanced,property_calculation_advanced_005_crystal_density,crystal_density,1.44728,g/cm^3,identity,0.2,0.2,0.10260000000000001,0.10260000000000001,x,1.3446799999999999,1.54988,1.43702,1.4575399999999998,reference_reconciliation,preexisting_protocol_gap,高分误差约0.71%，量级可作为近似预测候选；未唯一指定晶型、cell和温度。,对应CCDC条目/水合物状态与密度来源及允许的近似预测误差。,LOCAL
property_calculation_advanced,property_calculation_advanced_006_cocrystal_ratio,cocrystal_molar_ratio,1:1,,categorical,,,,,,,,,,no_numeric_tolerance,unchanged_categorical,无数值宽度；共晶1:1满分、1:2/2:1部分分保持原样。,按既有身份/相名/比例规则另审来源；本轮仅标记不适用。,LOCAL
property_calculation_advanced,property_calculation_advanced_007_polymorph_free_energy_crossover,lower_free_energy_at_0k,FormC,,categorical,,,,,,,,,,no_numeric_tolerance,unchanged_categorical,非数值字段，本轮不改变，也不以容差审查认证其gold与规则。,按既有身份/相名/比例规则另审来源；本轮仅标记不适用。,LOCAL
property_calculation_advanced,property_calculation_advanced_007_polymorph_free_energy_crossover,crossover_temperature,343.15,K,identity,200.0,200.0,85.39999999999999,85.39999999999999,x,257.75,428.54999999999995,334.60999999999996,351.69,protocol_definition_required,preexisting_protocol_gap,交叉温度误差取决于DeltaG与DeltaS；85.4 K需热力学误差传播依据。,冻结G(T)、压力、晶型与归一化，并记录DeltaS和自由能误差。,LOCAL
property_calculation_advanced,property_calculation_advanced_008_interaction_binding_energy,interaction_energy,-69.04,kcal/mol,absolute,20.0,20.0,10.0,10.0,abs(x),59.040000000000006,79.04,68.04,70.04,inherited_sign_issue,preexisting_transform_unchanged,题面保号但absolute变换让正的gold幅值也满分，任何正容差都不能修复此冲突。,单独修正保号语义；核对interaction/binding的形变、CP与方法定义。,LOCAL
property_calculation_advanced,property_calculation_advanced_008_interaction_binding_energy,binding_energy,-58.15,kcal/mol,absolute,20.0,20.0,10.0,10.0,abs(x),48.15,68.15,57.15,59.15,inherited_sign_issue,preexisting_transform_unchanged,题面保号但absolute变换让正的gold幅值也满分，任何正容差都不能修复此冲突。,单独修正保号语义；核对interaction/binding的形变、CP与方法定义。,LOCAL
